acreage,district,price
25.0,quận phú nhuận,4.7
16.0,quận phú nhuận,1.5
30.0,quận phú nhuận,4.9
25.0,quận 7,4.6
18.0,quận 7,2.8
25.0,quận 7,4.8
21.0,quận 7,3.7
40.0,quận 7,3.5
20.0,quận 7,4.2
40.0,quận 7,5.5
25.0,quận 7,5.5
30.0,quận 7,5.0
15.0,quận 7,0.95
35.0,quận 7,6.0
27.0,quận 7,4.7
30.0,quận 7,5.2
35.0,quận 7,3.6
16.0,quận 7,2.5
30.0,quận 7,3.9
35.0,quận 7,3.7
22.0,quận 7,4.5
25.0,quận 7,5.8
15.0,quận phú nhuận,3.0
32.0,quận phú nhuận,4.5
30.0,quận phú nhuận,7.5
30.0,quận 7,3.6
32.0,quận phú nhuận,6.0
15.0,quận phú nhuận,3.5
30.0,quận phú nhuận,4.0
30.0,quận phú nhuận,4.8
30.0,quận phú nhuận,3.0
16.0,quận phú nhuận,4.5
12.0,quận 7,1.5
15.0,quận 7,2.0
25.0,quận 7,4.5
20.0,quận 7,4.5
30.0,quận 7,3.7
12.0,quận phú nhuận,2.0
28.0,quận phú nhuận,4.0
18.0,quận phú nhuận,2.2
20.0,quận phú nhuận,4.2
40.0,quận phú nhuận,3.8
24.0,quận phú nhuận,5.5
30.0,quận phú nhuận,6.5
25.0,quận phú nhuận,3.0
15.0,quận 7,1.6
30.0,quận 7,2.5
30.0,quận phú nhuận,6.0
22.0,quận 7,2.8
25.0,quận 7,2.5
30.0,quận 7,2.3
20.0,quận 7,2.8
25.0,quận 7,2.8
25.0,quận 7,4.7
17.0,quận 7,2.5
25.0,quận 7,4.0
25.0,quận 7,3.2
15.0,quận 7,3.7
25.0,quận phú nhuận,4.3
20.0,quận 7,4.7
25.0,quận phú nhuận,4.2
20.0,quận 7,1.6
22.0,quận 7,1.6
20.0,quận 7,2.7
12.0,quận 7,2.0
26.0,quận 7,3.2
25.0,quận 7,1.9
20.0,quận 7,1.8
22.0,quận 7,3.0
18.0,quận 7,2.9
30.0,quận 7,2.2
25.0,quận 7,2.2
25.0,quận phú nhuận,4.5
30.0,quận 7,3.3
16.0,quận 7,1.6
32.0,quận 7,5.0
22.0,quận 7,3.4
20.0,quận 7,2.2
35.0,quận 7,6.5
26.0,quận 7,4.7
15.0,quận 7,1.5
30.0,quận 7,6.5
35.0,quận 7,5.8
30.0,quận 7,3.4
24.0,quận 7,3.3
32.0,huyện nhà bè,3.5
17.0,huyện nhà bè,1.5
12.0,huyện nhà bè,1.3
15.0,huyện nhà bè,1.5
12.0,huyện nhà bè,1.5
25.0,huyện nhà bè,3.0
24.0,huyện nhà bè,3.0
30.0,huyện nhà bè,3.0
25.0,huyện nhà bè,1.8
10.0,huyện nhà bè,1.8
30.0,huyện nhà bè,2.5
21.0,huyện nhà bè,1.5
15.0,huyện nhà bè,2.0
30.0,huyện nhà bè,1.7000000000000002
20.0,huyện nhà bè,1.6
15.0,huyện nhà bè,2.5
20.0,huyện nhà bè,1.9
16.0,huyện nhà bè,2.6
25.0,huyện nhà bè,2.0
18.0,huyện nhà bè,2.3
32.0,huyện nhà bè,2.6
24.0,huyện nhà bè,3.2
20.0,huyện nhà bè,2.0
40.0,huyện nhà bè,3.8
20.0,huyện nhà bè,2.8
24.0,huyện nhà bè,2.5
20.0,huyện nhà bè,3.8
32.0,huyện nhà bè,2.0
19.0,huyện nhà bè,2.5
10.0,huyện nhà bè,2.5
20.0,huyện nhà bè,4.3
20.0,huyện nhà bè,2.3
20.0,huyện nhà bè,1.7000000000000002
22.0,huyện nhà bè,2.5
20.0,huyện nhà bè,1.8
22.0,huyện nhà bè,1.8
23.0,huyện nhà bè,1.8
18.0,huyện nhà bè,1.5
15.0,huyện nhà bè,1.9
18.0,huyện nhà bè,1.0
30.0,huyện nhà bè,3.6
20.0,huyện nhà bè,1.2
16.0,huyện nhà bè,1.1
20.0,huyện nhà bè,2.2
17.0,huyện nhà bè,1.6
26.0,huyện nhà bè,2.0
25.0,huyện nhà bè,2.2
22.0,huyện nhà bè,1.6
28.0,huyện nhà bè,2.0
27.0,huyện nhà bè,1.8
30.0,huyện nhà bè,3.3
30.0,huyện nhà bè,4.8
22.0,huyện nhà bè,4.0
12.0,huyện nhà bè,2.5
25.0,huyện nhà bè,4.0
35.0,huyện nhà bè,4.0
24.0,huyện nhà bè,2.8
16.0,huyện nhà bè,2.3
25.0,huyện nhà bè,5.2
25.0,huyện nhà bè,1.5
13.0,huyện nhà bè,2.0
12.0,huyện nhà bè,1.0
20.0,huyện nhà bè,3.7
22.0,huyện nhà bè,2.8
12.0,huyện nhà bè,3.0
16.0,huyện nhà bè,2.0
25.0,huyện nhà bè,2.8
14.0,huyện nhà bè,1.8
12.0,huyện nhà bè,1.2
24.0,huyện nhà bè,1.3
13.0,huyện nhà bè,1.2
24.0,huyện nhà bè,1.4
13.0,huyện nhà bè,1.5
24.0,huyện nhà bè,2.3
24.0,quận 7,3.2
27.0,huyện nhà bè,2.5
36.0,quận 7,2.5
15.0,quận 7,2.4
32.0,huyện nhà bè,2.7
28.0,quận 10,5.5
20.0,quận 10,3.9
16.0,quận 10,2.0
30.0,quận 10,5.0
35.0,quận 10,5.5
30.0,quận 10,3.8
25.0,quận 10,3.8
25.0,quận 10,2.6
30.0,quận 10,3.9
30.0,quận 10,6.2
27.0,quận 10,2.8
8.0,quận 10,1.6
16.0,quận 10,2.5
25.0,quận 10,2.5
18.0,quận 10,4.0
23.0,quận 10,2.2
32.0,quận bình tân,3.5
20.0,quận bình tân,1.8
21.0,quận bình tân,4.0
25.0,quận bình tân,1.5
25.0,quận bình tân,2.8
25.0,quận bình tân,1.3
25.0,quận bình tân,1.4
16.0,quận bình tân,1.5
25.0,quận bình tân,2.9
30.0,quận bình tân,3.0
30.0,quận bình tân,1.6
25.0,quận bình tân,2.2
22.0,quận bình tân,3.0
15.0,quận 11,2.2
20.0,quận 11,5.0
28.0,quận 11,4.5
25.0,quận 11,5.0
25.0,quận 11,4.5
28.0,quận 11,5.2
15.0,quận 11,2.0
27.0,quận 11,5.2
25.0,quận 11,2.8
22.0,quận 11,4.5
28.0,quận 11,5.0
16.0,quận 11,2.0
20.0,quận 11,3.5
18.0,quận 11,3.5
30.0,quận 11,4.5
11.0,quận 11,1.8
12.0,quận 11,1.6
30.0,quận 11,6.0
28.0,quận 11,3.3
30.0,quận 11,1.5
40.0,quận 11,2.5
20.0,quận 11,2.5
15.0,quận 11,2.9
18.0,quận 11,3.0
30.0,quận 11,6.5
35.0,quận 11,6.2
35.0,quận 4,5.5
20.0,quận 4,3.5
20.0,quận 4,5.0
20.0,quận 4,5.5
25.0,quận 4,6.5
18.0,quận 4,4.5
17.0,quận 4,4.5
12.0,quận 4,3.0
24.0,quận 4,4.0
29.0,quận 4,5.5
31.0,quận 4,6.2
20.0,quận 5,4.5
20.0,quận 5,3.5
20.0,quận 4,4.7
20.0,quận 4,3.8
25.0,quận 4,3.8
25.0,quận 4,1.7000000000000002
30.0,quận 4,4.5
15.0,quận 4,3.6
25.0,quận 4,3.0
30.0,quận 5,2.9
25.0,quận 5,5.5
20.0,quận 5,2.5
15.0,quận 5,2.7
12.0,quận 5,2.7
10.0,quận 5,1.2
20.0,quận 5,2.2
25.0,quận 5,4.0
22.0,quận 5,4.0
20.0,quận 5,1.5
16.0,quận 5,2.5
25.0,quận 5,5.0
22.0,quận 5,4.7
30.0,quận 5,5.5
12.0,quận 5,1.5
25.0,quận 5,4.7
30.0,quận 5,4.7
30.0,quận 5,3.0
25.0,quận 10,6.0
12.0,quận 5,2.5
15.0,quận 5,2.0
30.0,quận 5,5.0
20.0,quận 5,3.0
25.0,quận 5,2.5
22.0,quận 4,5.0
15.0,quận 5,3.5
9.0,quận 4,1.7000000000000002
15.0,quận 4,3.4
15.0,quận 4,3.8
12.0,quận 4,1.1
20.0,quận 4,4.8
25.0,quận 4,5.5
12.0,quận 4,2.2
15.0,quận 4,2.1
40.0,quận 4,3.8
30.0,quận 4,5.0
16.0,quận 4,2.0
25.0,quận 4,1.3
22.0,quận 4,1.3
12.0,quận 4,1.9
15.0,quận 4,2.4
12.0,quận 4,1.3
13.0,quận 4,1.5
15.0,quận 5,0.8
40.0,quận 5,3.0
16.0,quận 4,2.2
30.0,quận 5,3.8
19.0,quận 5,3.5
20.0,quận 5,4.0
30.0,quận 5,4.2
16.0,quận 5,1.6
12.0,quận 5,1.7000000000000002
16.0,quận 5,3.0
18.0,quận 5,3.6
12.0,quận 5,0.8
28.0,quận 5,4.0
40.0,quận 5,3.3
25.0,quận 5,3.5
40.0,quận 5,4.0
30.0,quận 5,1.7000000000000002
10.0,quận 5,1.6
25.0,quận 5,5.8
30.0,quận 5,6.0
20.0,quận 5,2.0
15.0,quận 5,2.5
30.0,quận 5,3.5
30.0,quận 5,2.8
20.0,quận 5,2.6
27.0,quận 5,5.0
20.0,quận 5,2.4
30.0,quận 5,4.0
18.0,quận 5,2.0
9.0,quận 5,2.5
28.0,quận 5,3.6
13.0,quận 5,2.5
25.0,quận 5,1.4
20.0,quận 5,2.000005
15.0,quận 5,2.8
25.0,quận 5,1.6
18.0,quận 5,4.0
15.0,quận 5,3.0
40.0,quận 5,9.5
20.0,quận 5,4.9
16.0,quận 5,2.3
30.0,quận 5,4.5
20.0,quận 5,3.7
10.0,quận 5,2.0
20.0,quận 5,5.0
40.0,quận 5,5.0
18.0,quận 5,2.2
32.0,quận 5,3.0
18.0,quận 5,1.2
36.0,quận 5,6.0
24.0,quận 5,4.0
23.0,quận 5,2.9
10.0,quận 5,2.1
13.0,quận 5,1.8
25.0,quận 5,6.5
40.0,quận 5,7.0
35.0,quận 5,10.0
30.0,quận 5,1.9
17.0,quận 5,2.5
32.0,quận 5,5.0
12.0,quận 5,1.2
36.0,quận 5,5.0
25.0,quận 5,4.8
12.0,quận 5,1.8
18.0,quận 5,3.7
17.0,quận 5,2.3
19.0,quận 5,3.0
25.0,quận 5,4.6
35.0,quận 5,6.5
35.0,quận 5,6.0
30.0,quận 5,4.8
30.0,quận 5,6.5
30.0,quận 5,5.8
25.0,quận 5,2.0
40.0,quận 5,2.0
16.0,quận 5,1.8
18.0,quận 5,3.0
8.0,quận 5,2.0
15.0,quận 5,4.0
20.0,quận 5,3.2
25.0,quận 5,5.4
18.0,quận 5,4.3
5.0,quận 5,1.2
8.0,quận 5,1.3
22.0,quận 5,2.7
40.0,quận 5,4.5
40.0,quận 5,5.5
35.0,quận 5,2.8
7.0,quận 5,1.0
35.0,quận 5,5.5
25.0,quận 5,4.5
10.0,quận 5,1.8
26.0,quận 5,4.8
12.0,quận 5,1.6
14.0,quận 5,1.5
10.0,quận 5,2.4
18.0,quận 5,2.5
35.0,quận 5,4.8
15.0,quận 5,1.5
25.0,quận 5,1.8
29.0,quận 5,5.5
6.0,quận 5,1.5
16.0,quận 5,2.8
16.0,quận 5,3.1
11.0,quận 5,1.7000000000000002
18.0,quận 5,2.1
10.0,quận 5,1.3
9.0,quận 5,1.3
30.0,quận 5,5.7
16.0,quận 5,2.0
22.0,quận 5,3.8
27.0,quận 5,3.0
15.0,quận 5,3.3
14.0,quận 5,3.2
22.0,quận 5,5.5
22.0,quận 5,2.0
12.0,quận 5,2.8
30.0,quận 5,3.7
15.0,quận 5,3.2
14.0,quận 5,3.5
17.0,quận 5,3.5
18.0,quận 5,5.0
20.0,quận 5,1.0
6.0,quận 5,0.798
19.0,quận 5,1.0
20.0,quận 4,1.5
22.0,quận 4,4.0
27.0,quận 4,4.0
14.0,quận 4,2.8
35.0,quận 4,7.0
18.0,quận 4,3.0
25.0,quận 4,6.0
20.0,quận 4,2.1
25.0,quận 4,4.8
16.0,quận 4,2.8
6.0,quận 4,1.3
36.0,quận 4,4.8
25.0,quận 4,2.8
35.0,quận 4,3.5
36.0,quận 4,6.0
25.0,quận 4,7.5
15.0,quận 5,1.4
20.0,quận 4,4.5
28.0,quận 4,5.5
12.0,quận 4,1.8
25.0,quận 4,7.0
18.0,quận 4,3.5
16.0,quận 4,3.0
14.0,quận 4,2.9
15.0,quận 4,2.0
30.0,quận 4,3.0
32.0,quận 4,5.5
15.0,quận 4,2.7
17.0,quận 4,3.3
17.0,quận 4,3.0
30.0,quận 4,5.5
15.0,quận 4,3.3
25.0,quận 4,2.85
20.0,quận 4,5.2
25.0,quận 5,4.3
5.0,quận 4,1.3
25.0,quận 5,3.8
6.0,quận 5,0.5
20.0,quận 5,3.4
35.0,quận 5,4.0
25.0,quận 5,3.7
32.0,quận 4,6.0
9.0,quận 5,1.8
30.0,quận 4,5.9
30.0,quận 4,3.9
40.0,quận 4,2.6
30.0,quận 4,9.0
40.0,quận 4,5.8
25.0,quận 4,4.2
15.0,quận 4,3.0
28.0,quận 4,5.0
14.0,quận 4,2.7
14.0,quận 4,2.6
22.0,quận 4,4.3
40.0,quận 4,4.5
16.0,quận 4,1.0
35.0,quận 4,9.0
16.0,quận 4,2.5
25.0,quận 4,5.0
20.0,quận 4,6.0
30.0,quận 4,7.0
20.0,quận 4,4.4
20.0,quận 4,1.0
40.0,quận 4,7.0
22.0,quận 4,1.5
20.0,quận 4,2.5
40.0,quận 4,5.5
32.0,quận 4,3.0
20.0,quận 4,2.2
9.0,quận 4,1.6
12.0,quận 4,1.6
36.0,quận 5,3.9
25.0,quận 5,2.9
23.0,quận 5,2.5
32.0,quận 5,4.6
12.0,quận 4,2.000002
25.0,quận 5,2.8
30.0,quận 4,3.8
10.0,quận 4,3.0
15.0,quận 4,3.5
9.0,quận 4,2.6
25.0,quận 4,3.6
20.0,quận 4,2.8
25.0,quận 4,2.2
25.0,quận 4,2.7
5.0,quận 4,1.4
15.0,quận 4,4.3
20.0,quận 4,1.3
40.0,quận 4,3.0
15.0,quận 4,2.8
20.0,quận 4,3.7
28.0,quận 4,3.5
24.0,quận 4,3.2
26.0,quận 4,4.0
15.0,quận 4,3.2
36.0,quận 4,4.0
24.0,quận 4,4.2
36.0,quận 4,4.5
35.0,quận 4,5.0
14.0,quận 4,2.0
10.0,quận 4,2.5
26.0,quận 4,2.8
36.0,quận 4,3.8
16.0,quận 4,3.3
25.0,quận 4,3.7
24.0,quận 4,3.3
20.0,quận 4,2.951
24.0,quận 4,3.5
38.0,quận 4,3.8
25.0,quận 4,3.9
25.0,quận 4,6.2
16.0,quận 4,1.3
18.0,quận 4,1.3
30.0,quận 4,3.7
20.0,quận 4,2.7
10.0,quận 4,2.6
20.0,quận 4,4.2
30.0,quận 4,4.2
24.0,quận 4,3.8
12.0,quận 4,1.7000000000000002
14.0,quận 4,2.5
12.0,quận 4,2.5
13.0,quận 4,3.2
26.0,quận 4,4.7
17.0,quận 4,4.8
30.0,quận 4,5.3
10.0,quận 4,2.2
36.0,quận 4,2.2
23.0,quận 4,2.1
37.0,quận 4,3.6
16.0,quận 4,1.8
30.0,quận 4,4.8
20.0,quận 4,1.6
22.0,quận 4,3.9
30.0,quận 4,1.7000000000000002
22.0,quận 4,4.5
12.0,quận 4,2.1
14.0,quận 4,3.0
13.5,quận 4,2.5
20.0,quận 4,3.2
18.0,quận 4,2.9
30.0,quận 4,2.5
16.0,quận 4,1.7000000000000002
25.0,quận 4,1.35
27.0,quận 4,5.0
10.0,quận 4,0.7000000000000001
25.0,quận 4,4.6
25.0,quận 4,2.4
18.0,quận 4,2.2
28.0,quận 4,3.3
11.0,quận 4,2.2
17.0,quận 4,2.5
13.0,quận 4,2.5
24.0,quận 4,2.8
9.0,quận 4,1.5
20.0,quận 4,3.65
18.0,quận 4,4.7
39.0,quận 4,4.0
18.0,quận 4,3.3
20.0,quận 4,2.3
27.0,quận 4,2.5
40.0,quận 4,5.0
20.0,quận 4,2.4
20.0,quận 4,1.8
21.0,quận 4,2.5
25.0,quận 4,3.3
18.0,quận 4,2.8
15.0,quận 4,1.8
10.0,quận 4,1.7000000000000002
20.0,quận 4,3.3
15.0,quận bình tân,0.8
15.0,quận bình tân,1.7000000000000002
35.0,quận bình tân,3.0
30.0,quận bình tân,4.0
20.0,quận bình tân,1.3
9.0,quận bình tân,2.5
12.0,quận bình tân,1.000002
25.0,quận 5,3.0
25.0,quận 5,6.0
20.0,quận 5,1.8
35.0,quận 5,3.5
16.0,quận 5,4.0
10.0,quận 5,2.5
30.0,quận 5,3.9
17.0,quận 5,3.8
27.0,quận 5,7.5
15.0,quận 5,1.0
12.0,quận 5,3.0
27.0,quận 5,4.8
22.0,quận 5,2.3
15.0,quận 5,2.05
10.0,quận 5,2.2
21.0,quận 5,2.5
27.0,quận 5,3.6
18.0,quận 5,3.5
22.0,quận 5,3.3
30.0,quận 5,8.5
9.0,quận 5,2.4
25.0,quận 5,3.6
16.0,quận 5,1.7000000000000002
28.0,quận 5,3.5
18.0,quận 5,4.5
12.0,quận 5,2.0
40.0,quận 5,6.0
16.0,quận 5,3.5
24.0,quận 5,5.5
20.0,quận 5,1.6
28.0,quận 5,6.0
35.0,quận 5,5.0
8.0,quận 5,1.5
6.0,quận 5,1.3
20.0,quận 5,4.7
26.0,quận 5,3.7
30.0,quận 5,2.5
28.0,quận 5,5.0
30.0,quận 5,5.4
20.0,quận 5,4.2
22.0,quận 5,4.5
24.0,quận 5,4.2
35.0,quận 5,7.0
18.0,quận 5,2.7
30.0,quận 5,1.5
12.0,quận bình tân,1.0
12.0,quận bình tân,0.8
16.0,quận bình tân,1.0
18.0,quận bình tân,1.3
10.0,quận bình tân,0.8
24.0,quận 5,5.0
22.0,quận 5,5.0
30.0,quận 5,2.0
25.0,quận 5,5.2
20.0,quận 5,3.3
20.0,quận 5,2.7
15.0,quận 5,0.9
26.0,quận 5,5.0
8.0,quận 5,1.0
11.0,quận 5,2.0
15.0,quận 5,1.6
16.0,quận 5,3.8
24.0,quận 5,2.5
14.0,quận 5,2.3
26.0,quận 5,3.5
15.0,quận 5,1.7000000000000002
15.0,quận bình tân,1.0
28.0,quận bình tân,1.5
30.0,quận bình tân,2.5
20.0,quận bình tân,3.3
12.0,quận bình tân,1.5
14.0,quận 6,1.5
20.0,quận 6,3.0
25.0,quận 6,2.5
30.0,quận 6,4.9
20.0,quận 6,2.0
25.0,quận 6,2.0
16.0,quận 8,2.0
24.0,quận 8,3.0
30.0,quận 8,3.5
9.0,quận 6,1.5
25.0,quận 6,3.3
25.0,quận 6,3.4
10.0,quận 6,1.2
20.0,quận 6,3.8
32.0,quận 8,2.7
20.0,quận 8,2.7
23.0,quận 8,2.5
35.0,quận 8,4.5
20.0,quận 6,1.9
14.0,quận 6,3.2
16.0,quận 8,4.0
16.0,quận 6,3.0
17.0,quận 6,3.2
12.0,quận 6,2.2
15.0,quận 6,2.4
12.0,quận 6,2.4
25.0,quận 6,1.8
20.0,quận 8,3.6
32.0,quận 8,3.1
30.0,quận 8,4.5
25.0,quận 8,4.0
20.0,quận 8,5.0
13.0,quận 8,1.3
25.0,quận 8,4.3
32.0,quận 8,4.0
20.0,quận 8,3.4
16.0,quận 8,1.9
30.0,quận 8,3.2
35.0,quận 8,5.1
30.0,quận 8,3.3
26.0,quận 8,2.8
10.0,quận 8,1.6
20.0,quận 8,3.8
9.0,quận 8,1.2
25.0,quận 8,3.8
15.0,quận 8,2.0
15.0,quận 8,1.8
25.0,quận 8,3.3
25.0,quận 8,4.2
30.0,quận 8,4.3
13.0,quận 8,1.2
35.0,quận 8,3.0
30.0,quận 8,4.0
18.0,quận 8,2.8
22.0,quận 8,2.0
28.0,quận 8,3.5
19.0,quận 8,3.7
12.0,quận 8,3.0
30.0,quận 8,2.8
35.0,quận 8,4.0
19.0,quận 8,2.0
20.0,quận 8,2.2
38.0,quận 8,3.5
25.0,quận 8,3.2
24.0,quận 8,2.2
12.0,quận 8,1.5
10.0,quận 8,1.5
30.0,quận 8,1.5
30.0,quận 8,2.5
25.0,quận 8,2.2
32.0,quận 8,2.0
18.0,quận 8,2.4
17.0,quận 8,1.5
18.0,quận 8,1.5
